"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8720506818402","69.1137816170074","13.0974112608503","7.70715371562187","8.22291222713919","8.73356320859035","10.052218423345","11.0846117712931","14.7045108640783","13.4496484249285","15.5515985078589","14.3919593551431","14.9869807725944","16.2983915680899","18.2869798220067","21.9523992829099","19.8358366931835","25.9414625160401","26.3390937683362","29.8304506454222","31.5569524364008","33.9221954954342","34.6722961325568","36.79245528668","43.0229257525026","46.4154242411359","46.1206403041553","47.1544016835076","54.3851665436419","54.3868263075766","51.9319992167941","54.6009389937435","57.7915838897018","",
"American Samoa","ASM","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","48.9917331676781","47.6269403895503","44.1813389206178","40.6481740394833","41.7843064336184","42.5571873609257","47.4424009295989","43.6739502251387","41.9010823812387","40.9835453474544","47.9898349177787","47.7054655779324","48.869215684679","48.1537902115215","52.7291420346476","55.7526130929711","55.4990211420228","54.6905292347072","66.4298124857215","58.9886076087431","58.4466327271627","62.3987468287353","73.6300707456216","72.4110597646246","77.9931392537521","80.3098753324948","87.9248024313735","86.2055008678895","84.187928587155","82.4320285120116","80.4628457169323","79.3711878363051","80.4349789774548","86.1083234011622","88.1159728736866","85.2703284690255","88.9738498602757","86.729975998039","88.0222147216976","83.8848513027328","87.3116302414753","86.4690377755437","82.8441548801757","92.484771087941","92.7871357235987","83.3023160490741","80.1099669230855","76.1423970641081","",
"Australia","AUS","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","44.4786345333253","44.0492017499006","46.9639649753031","47.9815180147441","48.4587914669674","46.6922116502346","47.8578156353659","46.7980603210756","46.6106040406112","45.5277117248948","42.4729437229437","42.207904629996","45.7808262165736","49.659063577327","44.7429894945819","45.6935646616963","43.8404399343453","40.23220328427","40.7048893620257","40.1911320770583","40.4251325989392","39.2458431914852","37.6040087442864","39.5342351651132","39.1659850145601","41.9035824706197","41.444421473365","43.8076138325515","45.5713028548219","52.6200180606741","53.9913286167984","53.2302783882432","56.0819479799469","56.4980480973276","59.141741460262","60.391289934132","62.6363086108191","63.8703679602822","65.4158040704579","69.2405377602473","67.4017388147499","70.0303181877183","70.1178506644516","74.4714422233667","77.1240044421361","78.131886450499","83.2230363450933","90.3032314777128","97.5099400060563","94.0151526734737","100.134071257084","99.4210573700299","100.855823350662","105.014649157053","108.019927516658","112.766094787245","117.851238639698","116.182589947675","113.521703923993","122.445511150224","136.815007631975","138.859204445364","133.991410055661","126.285990818007","129.414944065889","",
"Austria","AUT","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5942200369287","54.8495885350318","55.9175834000534","12.3152709813478","11.260336390251","13.7784694930817","10.7290918594431","11.740901202216","16.2908235115195","12.9316251296911","12.9799509806046","14.2847604413775","17.6535586582497","14.6833526495037","18.3235363268822","20.7939232417976","21.1629793146757","23.7888372455655","24.790979277664","26.694780978457","30.6433467346745","33.1542970168781","36.544870094774","39.2035490126885","34.571996388808","32.375295290754","30.04094438261","35.247430493515","40.212967234331","37.1732316986005","31.9654153381323","36.6068709050715","36.8022418797581","",
"Burundi","BDI","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","10.2780437882096","10.3390184268591","9.47058660993065","10.4935581052497","10.5321272613849","10.5485789821547","10.4976199556478","12.3496521829531","12.3998629337729","12.8630143173298","13.5942183563508","10.7197905449632","13.937469619088","13.8867896960522","16.0685575279086","13.5416977282118","11.9132012651102","14.7268449403881","13.3667068757539","15.7213534940094","13.7867158609134","14.3033770201238","14.4885970218876","14.4595290549627","15.3918691268985","15.7366345484687","15.7785308286654","17.0356020349413","16.9075357682664","17.73312870522","23.0052066694014","19.8036143636716","22.3323071075637","18.5863768961494","15.7858820589705","20.4737373737374","17.1728550609034","17.2257816352167","21.2523406830438","24.0243463141909","22.3254125001561","23.2228639248364","26.2748698373922","24.619613407841","25.2588848848776","25.8770374379","28.2427285653968","26.805998695761","26.1297784433938","25.8819425264112","26.4533319187798","25.0432787550205","24.4852969840702","26.2974722725836","30.3917072741844","35.5510470669746","37.9686462481577","40.1966074541253","46.8363774737702","44.010833282369","","",
"Belgium","BEL","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","10.0984227496191","9.74019120072477","9.27200522731756","8.65644974757793","8.68020583584401","8.38965289400141","9.03497239512663","9.94748829903864","10.8744985208416","13.2911326846449","13.4380939040155","13.1524673555089","13.8186461122711","21.9623329383415","18.3545556202394","18.949162632634","18.6150722240255","16.1454713139609","20.4381268862195","21.5016638928642","23.6289007091442","23.2390993858367","24.3230997346458","23.7590663684299","23.5880474072087","20.6179375936953","20.2786268126816","21.7409745379421","25.1156071155851","26.4678661692991","29.6220981137924","26.4909358895432","28.4413709645636","22.873627302817","23.1801804966157","22.1286084617254","19.5070336084605","16.8262822433061","19.1893080035169","17.9977975020232","14.6410436093978","16.7880036917867","14.0338387215601","15.4599715800366","18.5348372060989","20.7109819579844","23.2666022946797","23.9524195587132","25.5234386493141","26.1382333435945","24.8831507282871","26.8619707362547","29.9654302622445","30.9847606493043","29.8320946092057","28.6309908502176","27.9343009114216","27.8216327591835","30.5466451421651","32.7281612646488","33.4262920130361","30.2805151829676","28.1253915565527","",
"Burkina Faso","BFA","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","5.9355351399503","6.32856284125765","6.23632650601526","6.18484782044443","6.21028515606872","5.99715628376444","6.66290295259899","7.00344596564452","7.39043129779654","7.47393196531676","7.26433316160531","9.63166624627252","9.69738479181372","12.0735706867007","13.5215265964661","12.7997737930624","12.7682604922297","12.4326613880456","13.0596613958314","13.203959628781","12.3809399275924","13.1284761577389","14.5424622404988","13.3803705671313","16.193478613476","17.9033210645973","19.0832577811735","18.4877964309622","18.1784041666065","18.1305668248272","18.7615381720288","19.8654620062825","22.1304757143247","23.9702848549793","22.6304264307343","24.6756491490467","21.5261861392885","17.5109436038408","18.6289597846143","16.2839927625652","14.6847701654749","22.69470571933","20.7600330070757","17.9641579126181","18.7747960550847","18.9952949594834","20.8826596935394","24.450580568313","25.6262389906549","25.7564537101449","26.4211963324223","28.2873353776802","30.2894261109739","35.5971028843395","36.5625742997606","41.1011430661806","42.1281649957099","43.1817672363833","46.8446169956733","51.1321303038172","49.2158648743744","45.5093725712169","42.3076094249926","",
