"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3327370304114","60.1204668088844","61.2560043844096","60.7541704101782","73.1013252499359","62.1869362383961","55.989556615586","58.2744756657506","52.8394319098677","49.8022321913836","50.0719114183969","45.7184119969031","46.152393477237","49.5683697098445","44.8798901687648","42.8265406335218","38.8841565463432","38.7856901033422","40.2765983873899","42.6033349980631","44.8945606568078","46.9123853980322","48.3998644778265","49.2015630214006","47.2184853070945","41.9566831307241","42.3336875987152","48.9863308847905","53.0802129926047","55.5843975150359","40.0447088894607","43.580013369418","52.3077088478584","62.4104205984709","76.4393725820236","",
"American Samoa","ASM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.765625","109.541984732824","111.984282907662","123.6","129.411764705882","120.656370656371","135.357142857143","82.8148148148148","94.4153577661431","98.7719298245614","100.9375","102.037617554859","108.087091757387","98.8112927191679","95.230998509687","102.287581699346","103.599374021909","94.8995363214838","95.1456310679612","92.5333333333333","77.7267508610792","","","",
"Antigua and Barbuda","ATG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.035414276926","59.3670530581958","62.0018249944678","63.2483211111674","68.1846045477951","68.3730888293456","52.4035661249613","54.1137470120719","62.9797628047534","","","",
"Australia","AUS","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","14.0152653404652","14.9764217942162","12.5898069151325","13.7888069774686","13.7205149891927","15.2193567830542","15.082517711618","13.8496014106756","14.4395446620859","13.291872446802","13.1791125541126","12.895726157499","11.9359827852868","10.985729175018","13.1756141947225","14.6911261842032","13.3429978314783","14.6100188918184","14.5502243175424","15.3132699309637","15.8636549089425","16.6921176293248","16.7816483547682","15.5797941883514","14.9658083303341","17.2456496753426","18.0139204741231","17.0322445634166","16.5910755275482","16.9255092106726","17.0153069408081","16.1389681024492","16.3633146564435","17.835080746682","18.4602149433109","19.8033020606163","19.3130446764454","18.82399786201","20.400065734524","20.6981026364668","21.5070430809694","22.0239741296115","20.6885447118526","21.1092381818995","19.8154530885495","20.9027650415889","21.6685358865245","21.783849774897","22.6478086476665","22.6567049778154","20.658283373645","20.3508907551214","21.598616528211","21.2073707762687","21.3033915472475","21.5101052436646","21.6102583389859","20.8635723040778","21.7606517070152","21.939202684145","20.5615267123377","18.200421516167","20.2331120432093","22.3432710661529","22.5238570535723","",
"Austria","AUT","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","27.5766515792064","27.4526449729377","27.4729611349908","27.6457393352114","30.5731150232028","28.61658706493","31.2863018950698","32.4507461693303","30.6730385631111","32.5639943179988","35.270085219446","35.5350765000145","32.5029290834582","32.119796948144","33.9569952878878","35.3001080394408","32.1427834629286","31.571180259021","33.6233243236943","35.662845074763","35.9316966914597","35.5973501546722","34.610466380459","31.926205154168","33.9615846861405","34.8600048302325","36.0315807177005","38.0300424431444","38.787931037573","39.0536203889869","42.2515162707939","43.1444465379839","41.9334403110863","42.0565037313482","44.2550210841381","45.7236031126049","47.5825693830677","48.4744751966427","49.1453130195427","42.1135824199495","48.0609004424225","51.4830214892056","51.5152989482497","51.0955530299819","50.6405828931259","49.7215694739361","48.910092513867","51.2300370800408","52.6757304983207","52.3114775114917","48.2851241395359","55.0789870565772","62.1522665342146","56.6661552513376","53.1474927492406","",
"Azerbaijan","AZE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2223738062756","41.2050898203593","54.5963776685131","76.028025477707","30.6282092340539","53.4070672040491","55.9211007831369","53.0443593072222","54.5282799511713","41.8558448782814","38.3777368008308","37.3165776205885","50.0503092783505","65.5453718603512","72.718107430072","52.9007785985227","38.758255006348","28.5128964581019","23.4667590165732","23.1082959987641","20.6812669257035","24.0810644752506","25.2883893489114","26.2600116874635","26.2096685368412","34.806730415594","43.6496693432541","41.8544509495606","37.5802826749238","36.7675179068137","36.3943117827554","29.7981185195358","26.9954251873703","34.5394726155785","36.7873227953806","",
"Burundi","BDI","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","42.7710254837046","41.8166176737447","41.0771607398334","46.1121501660273","52.3777195459097","45.6077121111552","48.2613755680507","48.1702725216395","46.5509597585309","51.6505320431123","52.9381673001875","56.157830087916","59.8220377400948","59.999935931094","63.8183833473908","61.4226586727942","55.0439747012999","54.0513368574141","57.0148633493866","61.3701837443597","59.8541601189252","58.3604828351158","56.2603571698966","52.9049958392791","54.8073406881894","56.2641961032662","58.0203848015116","60.902358975732","60.5347776108893","60.6069310248626","69.6827399089776","67.964880914325","65.2538517924041","63.679044325004","66.0121279012141","70.2462217485879","72.7625122442923","74.1666421724765","80.2078278152436","66.5423286532355","74.3342737521831","80.494152536242","80.3343292908166","78.6622093410738","79.1750903735027","77.1909428259269","79.43956490475","83.4596731852798","84.7946361610806","82.4980513923498","77.7532507214541","87.7565373348573","96.7576866293456","83.1037509277838","79.6587399265935","",
"Benin","BEN","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","12.1102860037387","9.53463213652839","9.95930446110375","11.6258988070834","12.2431651526909","14.9057105712226","16.1960629695616","19.7722662705327","19.0765867798385","21.4285057250714","24.4613236152013","27.8326141260428","26.800149392693","25.9501669628164","29.4946483665807","33.4129820337852","31.0285113990042","34.7807829045215","34.5453644374484","37.0217886787244","37.3221067200717","43.9588716369158","40.0862995442378","31.577722696885","30.9319281707312","36.6485996242477","32.6154967527009","30.9506070946336","32.0830888173539","24.8049383776371","26.5388791344867","30.3422307728013","33.5015977552095","32.917416096905","36.0734606362612","36.4311975077222","30.0189798910533","31.5354950169417","32.5006857471368","31.3822583591138","26.742848952329","28.3885918276674","24.0418117580991","22.9719333073503","21.389426770597","20.6122912074473","21.7167729998912","27.0709310375342","25.6346390032369","24.7746622235924","28.3588118822374","26.3673773087186","26.8399999121001","31.6296265138756","33.8374338168225","32.0358619739087","31.3801402666294","34.2710021769642","34.5209638714363","34.0508051206822","24.9607629492202","27.1360546569676","23.5662628402967","24.6596117269521","21.7996453220123","",
"Burkina Faso","BFA","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","15.839404612418","15.7899764009717","15.7059646946391","15.6690091988758","11.5184394568252","11.3766205814937","11.6484883364785","13.9273070528145","15.2873906772355","16.5323946242926","16.1417701889841","19.9310890976094","21.2889996660341","22.9195387310593","24.4729157208656","30.1511163590201","27.0082432329274","30.4432668926016","27.7508292684115","29.2824436783172","31.2625076586155","31.4351136452015","31.6240353150483","29.5741478477064","28.7577920382322","31.0260822887558","28.9711662892219","28.0811295265822","27.1309820899936","23.6458973519231","24.4559590282232","23.3486879839288","19.5275360085764","20.6735406720758","25.0276010932215","26.6069148783492","27.6166925636234","26.6038877818834","28.1316805532505","26.9008102757514","26.2782244851586","22.6140880474318","22.4471572206048","21.1478047493266","24.5993563004511","24.3303222900142","24.1496788527529","23.4311750727081","25.2359899277654","26.507012812169","28.5573896844031","31.3017525842237","34.6405225638741","36.9588658493908","31.8915583395886","32.9815357744638","31.9772079951896","32.8163945669667","32.5167194817269","31.1509972180432","28.9629129494576","29.6232851445985","36.3022167140067","34.1924766322622","31.9447036688705","",
"Bangladesh","BGD","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","9.30725837281466","11.6999989681888","10.8080969923682","11.6562779409751","14.1218553939094","13.3665973042485","12.6518221475519","12.5957179860198","11.606331446801","11.6653287574603","12.5074840612315","10.7275845200351","13.7325591531154","11.8552471769742","10.348545600697","8.10054723852476","17.6361931614715","12.3814462328921","15.4808518001798","15.7978440622703","17.8829473211837","14.1162959381044","15.5316243276076","14.7130315900677","13.4154720403534","12.8377060246289","11.8358105449764","11.6977479923371","12.2497633446486","12.7850303011279","13.0581855259296","12.2272149164418","12.3473285920799","14.1043140341485","13.864320908288","17.3448618625588","16.3695800738575","15.8051428327327","16.1227321741207","16.6292981713845","16.9775131339119","18.7114578649468","16.557411788963","16.2267362042167","15.7117252031078","20.0040929665367","21.7584608673034","22.9470478066831","24.9620555504832","23.1526633174097","21.7787299851405","27.4987748801959","27.9493338849842","26.7585286129376","25.5244202017989","24.7493225204896","17.4129456531683","17.179983781834","19.8398437797492","18.4832971559365","15.8286593146113","17.0612258032497","20.897740835675","17.8258075763392","16.3168879748762","",
